type,id,source,instantTicketingRequired,nonHomogeneous,oneWay,lastTicketingDate,numberOfBookableSeats,itineraries,price,pricingOptions,validatingAirlineCodes,travelerPricings
flight-offer,1,GDS,False,False,False,2022-08-03,3,"[{'duration': 'PT1H17M', 'segments': [{'departure': {'iataCode': 'LAX', 'terminal': '3', 'at': '2022-11-01T06:15:00'}, 'arrival': {'iataCode': 'SFO', 'terminal': '2', 'at': '2022-11-01T07:32:00'}, 'carrierCode': 'DL', 'number': '1411', 'aircraft': {'code': '738'}, 'operating': {'carrierCode': 'DL'}, 'duration': 'PT1H17M', 'id': '19', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '47.67', 'base': '31.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '47.67'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['DL'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '47.67', 'base': '31.00'}, 'fareDetailsBySegment': [{'segmentId': '19', 'cabin': 'ECONOMY', 'fareBasis': 'VAVSH3BC', 'brandedFare': 'BASICECON', 'class': 'E', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,2,GDS,False,False,False,2022-08-03,3,"[{'duration': 'PT1H18M', 'segments': [{'departure': {'iataCode': 'LAX', 'terminal': '3', 'at': '2022-11-01T21:59:00'}, 'arrival': {'iataCode': 'SFO', 'terminal': '2', 'at': '2022-11-01T23:17:00'}, 'carrierCode': 'DL', 'number': '2330', 'aircraft': {'code': '221'}, 'operating': {'carrierCode': 'DL'}, 'duration': 'PT1H18M', 'id': '20', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '47.67', 'base': '31.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '47.67'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['DL'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '47.67', 'base': '31.00'}, 'fareDetailsBySegment': [{'segmentId': '20', 'cabin': 'ECONOMY', 'fareBasis': 'VAVSH3BC', 'brandedFare': 'BASICECON', 'class': 'E', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,3,GDS,False,False,False,2022-08-03,3,"[{'duration': 'PT1H19M', 'segments': [{'departure': {'iataCode': 'LAX', 'terminal': '3', 'at': '2022-11-01T14:45:00'}, 'arrival': {'iataCode': 'SFO', 'terminal': '2', 'at': '2022-11-01T16:04:00'}, 'carrierCode': 'DL', 'number': '1447', 'aircraft': {'code': '221'}, 'operating': {'carrierCode': 'DL'}, 'duration': 'PT1H19M', 'id': '21', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '47.67', 'base': '31.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '47.67'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['DL'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '47.67', 'base': '31.00'}, 'fareDetailsBySegment': [{'segmentId': '21', 'cabin': 'ECONOMY', 'fareBasis': 'VAVSH3BC', 'brandedFare': 'BASICECON', 'class': 'E', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,4,GDS,False,False,False,2022-08-03,3,"[{'duration': 'PT1H20M', 'segments': [{'departure': {'iataCode': 'LAX', 'terminal': '3', 'at': '2022-11-01T18:44:00'}, 'arrival': {'iataCode': 'SFO', 'terminal': '2', 'at': '2022-11-01T20:04:00'}, 'carrierCode': 'DL', 'number': '1224', 'aircraft': {'code': '221'}, 'operating': {'carrierCode': 'DL'}, 'duration': 'PT1H20M', 'id': '24', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '47.67', 'base': '31.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '47.67'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['DL'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '47.67', 'base': '31.00'}, 'fareDetailsBySegment': [{'segmentId': '24', 'cabin': 'ECONOMY', 'fareBasis': 'VAVSH3BC', 'brandedFare': 'BASICECON', 'class': 'E', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,5,GDS,False,False,False,2022-08-03,3,"[{'duration': 'PT1H21M', 'segments': [{'departure': {'iataCode': 'LAX', 'terminal': '3', 'at': '2022-11-01T12:20:00'}, 'arrival': {'iataCode': 'SFO', 'terminal': '2', 'at': '2022-11-01T13:41:00'}, 'carrierCode': 'DL', 'number': '1203', 'aircraft': {'code': '221'}, 'operating': {'carrierCode': 'DL'}, 'duration': 'PT1H21M', 'id': '25', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '47.67', 'base': '31.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '47.67'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['DL'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '47.67', 'base': '31.00'}, 'fareDetailsBySegment': [{'segmentId': '25', 'cabin': 'ECONOMY', 'fareBasis': 'VAVSH3BC', 'brandedFare': 'BASICECON', 'class': 'E', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,6,GDS,False,False,False,2022-08-03,3,"[{'duration': 'PT1H23M', 'segments': [{'departure': {'iataCode': 'LAX', 'terminal': '3', 'at': '2022-11-01T10:00:00'}, 'arrival': {'iataCode': 'SFO', 'terminal': '2', 'at': '2022-11-01T11:23:00'}, 'carrierCode': 'DL', 'number': '1441', 'aircraft': {'code': '221'}, 'operating': {'carrierCode': 'DL'}, 'duration': 'PT1H23M', 'id': '29', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '47.67', 'base': '31.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '47.67'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['DL'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '47.67', 'base': '31.00'}, 'fareDetailsBySegment': [{'segmentId': '29', 'cabin': 'ECONOMY', 'fareBasis': 'VAVSH3BC', 'brandedFare': 'BASICECON', 'class': 'E', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,7,GDS,False,False,False,2022-08-03,3,"[{'duration': 'PT1H29M', 'segments': [{'departure': {'iataCode': 'LAX', 'terminal': '3', 'at': '2022-11-01T08:25:00'}, 'arrival': {'iataCode': 'SFO', 'terminal': '2', 'at': '2022-11-01T09:54:00'}, 'carrierCode': 'DL', 'number': '1210', 'aircraft': {'code': '320'}, 'operating': {'carrierCode': 'DL'}, 'duration': 'PT1H29M', 'id': '46', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '47.67', 'base': '31.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '47.67'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['DL'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '47.67', 'base': '31.00'}, 'fareDetailsBySegment': [{'segmentId': '46', 'cabin': 'ECONOMY', 'fareBasis': 'VAVSH3BC', 'brandedFare': 'BASICECON', 'class': 'E', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,8,GDS,False,False,False,2022-08-03,7,"[{'duration': 'PT1H23M', 'segments': [{'departure': {'iataCode': 'LAX', 'terminal': '5', 'at': '2022-11-01T06:05:00'}, 'arrival': {'iataCode': 'SFO', 'terminal': '1', 'at': '2022-11-01T07:28:00'}, 'carrierCode': 'B6', 'number': '2436', 'aircraft': {'code': '320'}, 'operating': {'carrierCode': 'B6'}, 'duration': 'PT1H23M', 'id': '28', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '58.42', 'base': '41.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '58.42'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['B6'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '58.42', 'base': '41.00'}, 'fareDetailsBySegment': [{'segmentId': '28', 'cabin': 'ECONOMY', 'fareBasis': 'SL2AUEL1', 'brandedFare': 'DN', 'class': 'L', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,9,GDS,False,False,False,2022-08-03,7,"[{'duration': 'PT1H24M', 'segments': [{'departure': {'iataCode': 'LAX', 'terminal': '5', 'at': '2022-11-01T13:10:00'}, 'arrival': {'iataCode': 'SFO', 'terminal': '1', 'at': '2022-11-01T14:34:00'}, 'carrierCode': 'B6', 'number': '2736', 'aircraft': {'code': '320'}, 'operating': {'carrierCode': 'B6'}, 'duration': 'PT1H24M', 'id': '30', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '58.42', 'base': '41.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '58.42'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['B6'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '58.42', 'base': '41.00'}, 'fareDetailsBySegment': [{'segmentId': '30', 'cabin': 'ECONOMY', 'fareBasis': 'SL2AUEL1', 'brandedFare': 'DN', 'class': 'L', 'includedCheckedBags': {'quantity': 0}}]}]"
flight-offer,10,GDS,False,False,False,2022-08-03,7,"[{'duration': 'PT1H24M', 'segments': [{'departure': {'iataCode': 'LAX', 'terminal': '5', 'at': '2022-11-01T17:44:00'}, 'arrival': {'iataCode': 'SFO', 'terminal': '1', 'at': '2022-11-01T19:08:00'}, 'carrierCode': 'B6', 'number': '536', 'aircraft': {'code': '320'}, 'operating': {'carrierCode': 'B6'}, 'duration': 'PT1H24M', 'id': '32', 'numberOfStops': 0, 'blacklistedInEU': False}]}]","{'currency': 'EUR', 'total': '58.42', 'base': '41.00', 'fees': [{'amount': '0.00', 'type': 'SUPPLIER'}, {'amount': '0.00', 'type': 'TICKETING'}], 'grandTotal': '58.42'}","{'fareType': ['PUBLISHED'], 'includedCheckedBagsOnly': False}",['B6'],"[{'travelerId': '1', 'fareOption': 'STANDARD', 'travelerType': 'ADULT', 'price': {'currency': 'EUR', 'total': '58.42', 'base': '41.00'}, 'fareDetailsBySegment': [{'segmentId': '32', 'cabin': 'ECONOMY', 'fareBasis': 'SL2AUEL1', 'brandedFare': 'DN', 'class': 'L', 'includedCheckedBags': {'quantity': 0}}]}]"
